sample_id,region,latitude,longitude,month,sea_surface_temperature_c,temperature_anomaly_c,wind_speed_kmh,wave_height_m,humidity_percent,pressure_hpa,cloud_coverage_percent,chlorophyll_index,current_speed_ms,ocean_risk_level
OM-0001,Pacífico Sul,-36.6601,-103.2605,4,26.53,2.05,31.47,2.92,73.83,1004.22,69.38,1.511,0.76,alto
OM-0002,Pacífico Sul,-18.9603,-132.2432,8,25.55,1.86,24.65,2.26,90.05,1023.32,60.91,1.174,0.961,alto
OM-0003,Atlântico Norte,17.9356,-67.393,8,24.26,0.05,4.35,1.41,61.37,999.11,24.04,0.515,0.693,baixo
OM-0004,Pacífico Equatorial,4.8522,-98.6809,2,30.64,1.28,30.72,3.46,68.52,992.56,56.95,0.812,0.418,critico
OM-0005,Costa Nordeste,-8.0392,-39.3082,11,29.64,0.01,22.43,2.11,83.88,993.96,51.01,0.888,0.832,moderado
OM-0006,Pacífico Sul,-30.5597,-111.0105,7,26.29,0.94,24.43,1.76,75.8,996.94,42.08,0.723,0.675,moderado
OM-0007,Índico Oeste,-22.2727,41.8847,2,29.01,1.04,17.0,2.05,66.74,1001.65,58.91,1.432,0.906,moderado
OM-0008,Atlântico Sul,-16.3658,-20.0969,5,29.17,-0.22,21.79,2.32,73.22,995.03,91.82,0.681,0.447,moderado
OM-0009,Pacífico Sul,-31.0467,-112.4945,10,24.17,3.76,53.07,3.42,66.59,990.45,85.97,1.497,1.073,critico
OM-0010,Costa Nordeste,-9.3049,-31.8299,2,32.79,3.2,32.11,3.05,63.52,1002.55,63.1,1.992,0.45,critico
OM-0011,Atlântico Norte,32.658,-28.6079,12,22.92,3.32,20.79,3.44,81.17,1006.67,55.05,1.652,0.644,critico
OM-0012,Atlântico Sul,-15.8432,-51.1732,2,30.57,0.93,21.42,2.12,91.78,1022.49,40.06,0.717,0.654,moderado
OM-0013,Costa Nordeste,-8.8681,-35.1153,6,30.41,1.07,11.86,0.52,84.27,1013.38,38.62,1.602,0.477,alto
OM-0014,Índico Oeste,-20.7945,47.3395,8,27.4,2.64,38.06,2.77,100,1011.72,100,0.213,1.023,critico
OM-0015,Costa Nordeste,-5.123,-37.7796,7,31.59,1.84,43.21,2.85,72.61,1015.41,58.53,0.326,0.441,critico
OM-0016,Costa Nordeste,-6.4395,-30.4694,10,29.76,0.28,33.67,2.98,86.76,1001.01,83.68,1.0,0.655,moderado
OM-0017,Atlântico Sul,-16.4957,-39.7117,2,30.05,0.18,26.55,2.58,68.91,997.95,49.13,1.106,0.474,moderado
OM-0018,Pacífico Equatorial,-1.0421,-109.6986,5,29.38,1.15,39.36,3.17,71.76,1002.2,34.97,0.827,0.764,alto
OM-0019,Atlântico Sul,-12.4146,-30.9807,3,27.65,1.03,43.13,3.06,61.4,1001.06,10.31,0.611,1.011,alto
OM-0020,Pacífico Equatorial,-3.8457,-143.5778,9,30.51,1.21,17.22,3.38,83.15,998.48,61.96,1.819,0.956,critico
OM-0021,Pacífico Equatorial,-4.5591,-129.9866,3,31.43,0.07,12.19,1.83,79.95,1010.25,92.61,0.228,0.087,moderado
OM-0022,Atlântico Norte,26.5758,-44.2128,1,24.08,2.4,42.92,2.38,77.88,1007.37,96.86,1.507,0.759,critico
OM-0023,Atlântico Norte,32.4843,-14.4542,4,28.36,-1.25,19.9,1.85,75.24,1003.46,87.21,0.497,0.842,baixo
OM-0024,Pacífico Equatorial,-3.408,-107.9233,7,32.65,-0.68,24.47,1.52,69.95,1024.77,53.44,0.887,0.604,moderado
OM-0025,Atlântico Sul,-10.6622,-36.8569,11,25.15,0.52,22.4,2.61,81.57,1002.71,4.17,0.306,0.908,moderado
OM-0026,Pacífico Equatorial,2.2855,-131.1794,10,30.39,0.56,24.78,2.74,64.85,1011.44,68.61,0.295,0.967,moderado
OM-0027,Costa Nordeste,-5.6293,-43.9504,11,31.43,-0.0,37.21,3.82,61.19,1005.82,38.51,1.349,0.487,alto
OM-0028,Pacífico Sul,-11.7891,-109.0414,3,28.28,0.09,30.51,2.6,64.09,1012.29,41.12,0.442,0.418,baixo
OM-0029,Índico Oeste,-1.1879,78.3933,12,30.64,0.93,18.73,2.0,82.95,993.68,53.85,0.659,0.567,alto
OM-0030,Costa Nordeste,1.8072,-35.8309,2,29.2,1.12,23.41,1.97,71.44,1009.25,42.44,0.153,0.882,moderado
OM-0031,Índico Oeste,-18.4348,72.1644,12,27.02,0.57,30.1,2.07,80.71,993.68,88.89,0.827,1.055,moderado
OM-0032,Atlântico Norte,34.4502,-16.4788,7,25.73,-0.39,20.37,1.39,75.56,1016.5,30.45,0.281,0.172,baixo
OM-0033,Pacífico Equatorial,-0.6013,-107.1873,4,32.06,1.38,30.83,3.31,70.6,991.38,81.82,1.127,0.366,critico
OM-0034,Costa Nordeste,-0.0053,-39.1578,10,30.02,0.54,13.5,1.86,83.88,1006.23,24.01,1.402,0.702,moderado
OM-0035,Pacífico Sul,-23.616,-115.7073,4,28.24,0.65,12.57,2.89,80.78,995.02,86.33,0.122,0.901,moderado
OM-0036,Índico Oeste,-7.2432,66.52,2,31.2,0.22,31.94,2.88,78.12,1014.54,59.11,0.437,0.6,moderado
OM-0037,Pacífico Equatorial,3.3491,-121.7816,12,25.38,-0.35,10.71,0.93,66.3,998.8,67.48,0.717,0.639,baixo
OM-0038,Costa Nordeste,-4.3173,-43.2842,4,31.3,0.75,3.99,0.89,72.57,994.6,68.68,1.186,0.05,alto
OM-0039,Atlântico Norte,30.3204,-12.5096,7,25.74,0.38,26.77,2.1,73.24,1000.0,41.54,0.183,0.648,baixo
OM-0040,Atlântico Sul,-23.0559,-27.1554,6,30.17,2.73,19.56,2.99,62.34,1018.05,53.01,1.186,0.735,critico
OM-0041,Pacífico Sul,-31.8975,-97.2621,9,24.17,-0.39,13.44,1.65,76.66,1031.78,50.57,1.231,0.533,baixo
OM-0042,Pacífico Sul,-28.6303,-167.417,6,25.94,1.17,14.42,3.62,73.57,1000.61,100,1.002,0.974,alto
OM-0043,Índico Oeste,-8.3447,49.613,8,29.55,-0.23,27.21,2.69,72.94,1001.19,33.31,0.578,0.326,baixo
OM-0044,Pacífico Sul,-23.4883,-138.3371,8,27.28,2.55,38.7,4.03,76.49,995.36,71.98,1.556,0.543,critico
OM-0045,Atlântico Norte,27.9037,-11.1694,4,25.87,1.42,24.89,2.41,79.21,1006.28,48.72,1.897,0.3,moderado
OM-0046,Atlântico Sul,-12.5456,-17.6858,8,26.31,0.71,23.82,3.95,78.77,1009.18,30.83,0.912,0.592,moderado
OM-0047,Atlântico Norte,38.4738,-64.8891,4,27.7,1.64,28.72,2.45,65.17,1003.03,20.48,1.276,0.785,alto
